iter	Passed	Remaining
0	27	2769
1	40	1972
2	49	1609
3	61	1465
4	70	1335
5	77	1209
6	85	1140
7	92	1068
8	101	1025
9	108	972
10	116	944
11	123	905
12	129	868
13	136	838
14	144	817
15	150	791
16	157	768
17	165	755
18	173	740
19	182	731
20	189	714
21	196	697
22	204	683
23	211	670
24	219	657
25	226	645
26	233	631
27	240	618
28	248	607
29	254	594
30	261	582
31	268	571
32	276	560
33	283	550
34	291	540
35	298	529
36	305	519
37	312	509
38	319	499
39	326	489
40	333	479
41	340	470
42	347	460
43	355	452
44	362	443
45	369	433
46	379	427
47	387	419
48	395	411
49	402	402
50	412	395
51	419	387
52	426	378
53	434	369
54	443	363
55	455	358
56	463	349
57	472	341
58	483	336
59	492	328
60	499	319
61	511	313
62	518	304
63	527	296
64	534	287
65	546	281
66	554	272
67	561	264
68	569	256
69	580	248
70	589	240
71	596	232
72	607	224
73	615	216
74	623	207
75	631	199
76	641	191
77	648	183
78	657	174
79	664	166
80	675	158
81	682	149
82	689	141
83	696	132
84	707	124
85	714	116
86	721	107
87	728	99
88	737	91
89	745	82
90	752	74
91	759	66
92	767	57
93	775	49
94	784	41
95	791	32
96	799	24
97	807	16
98	815	8
99	822	0
